Date,Benchmark Eurostoxx50,Benchmark Stoxx600
2022-03-23,3869.219970703125,454.0299987792969
2022-03-24,3863.389892578125,453.0700073242188
2022-03-25,3867.72998046875,453.5499877929688
2022-03-28,3887.10009765625,454.1700134277344
2022-03-29,4002.179931640625,462.0899963378906
2022-03-30,3959.139892578125,460.1900024414063
2022-03-31,3902.52001953125,455.8599853515625
2022-04-01,3918.679931640625,458.3399963378906
2022-04-04,3951.1201171875,462.1900024414063
2022-04-05,3917.85009765625,463.0700073242188
2022-04-06,3824.68994140625,455.9700012207031
2022-04-07,3802.010009765625,455.0199890136719
2022-04-08,3858.3701171875,460.9700012207031
2022-04-11,3839.6201171875,458.260009765625
2022-04-12,3831.469970703125,456.6499938964844
2022-04-13,3827.9599609375,456.7799987792969
2022-04-14,3848.679931640625,459.8200073242188
2022-04-18,3848.679931640625,459.8200073242188
2022-04-19,3830.760009765625,456.2799987792969
2022-04-20,3896.81005859375,460.1000061035156
2022-04-21,3928.030029296875,461.5700073242188
2022-04-22,3840.010009765625,453.30999755859375
2022-04-25,3757.590087890625,445.1099853515625
2022-04-26,3721.360107421875,441.1000061035156
2022-04-27,3734.639892578125,444.30999755859375
2022-04-28,3777.02001953125,447.0700073242188
2022-04-29,3802.860107421875,450.3900146484375
2022-05-02,3732.43994140625,443.8299865722656
2022-05-03,3761.18994140625,446.2000122070313
2022-05-04,3724.989990234375,441.3699951171875
2022-05-05,3696.6298828125,438.260009765625
2022-05-06,3629.169921875,429.9100036621094
2022-05-09,3526.860107421875,417.4599914550781
2022-05-10,3554.800048828125,420.2900085449219
2022-05-11,3647.8701171875,427.5899963378906
2022-05-12,3613.429931640625,424.3999938964844
2022-05-13,3703.419921875,433.4800109863281
2022-05-16,3685.340087890625,433.6700134277344
2022-05-17,3741.510009765625,438.9700012207031
2022-05-18,3690.739990234375,433.9500122070313
2022-05-19,3633.330078125,427.6799926757813
2022-05-20,3657.030029296875,431.1000061035156
2022-05-23,3708.389892578125,436.5400085449219
2022-05-24,3647.56005859375,431.5799865722656
2022-05-25,3677.10009765625,434.30999755859375
2022-05-26,3677.10009765625,434.30999755859375
2022-05-27,3808.860107421875,443.9299926757813
2022-05-30,3841.6201171875,446.5700073242188
2022-05-31,3789.2099609375,443.3500061035156
2022-06-01,3759.5400390625,438.7200012207031
2022-06-02,3795.1298828125,441.2300109863281
2022-06-03,3783.659912109375,440.0899963378906
2022-06-06,3783.659912109375,440.0899963378906
2022-06-07,3806.739990234375,442.8800048828125
2022-06-08,3788.929931640625,440.3699951171875
2022-06-09,3724.449951171875,434.3800048828125
